"id","gender","birthyr","race","educ","faminc","inputstate","pid3","pid7","votereg","ideo5","newsint","marstat","child18","employ","presvote16post","region"
135426577,1,1963,7,5,9,55,4,5,1,4,1,3,2,1,2,2
143132485,1,1973,7,5,10,53,4,5,1,4,1,5,2,1,2,4
155691024,1,1956,7,5,7,8,3,4,1,2,2,5,2,5,1,4
324906910,1,1966,4,5,10,6,1,1,1,2,1,5,2,2,1,4
137435178,1,1959,4,5,14,17,3,3,1,3,3,1,2,1,1,2
131900264,1,1962,5,5,10,25,3,4,1,3,1,2,2,1,2,1
157412639,1,1970,7,5,11,50,1,3,1,6,1,6,2,9,1,1
293692944,1,1970,6,5,7,8,3,3,2,2,1,1,1,1,7,4
156407348,1,1960,7,5,9,40,3,4,1,3,1,1,2,1,2,3
307822304,1,1964,6,6,7,40,2,7,1,5,1,1,2,1,2,3
133102409,1,1957,5,6,97,32,1,2,1,3,2,1,1,1,2,4
319084772,1,1973,4,6,6,6,3,4,2,3,3,1,1,1,7,4
313725509,1,1973,6,6,3,6,3,3,1,2,1,3,1,6,1,4
384067879,1,1964,4,6,97,36,2,6,2,4,2,1,1,1,2,1
158900146,1,1961,6,6,12,54,1,1,2,2,2,5,2,8,7,3
159619081,1,1964,7,6,12,6,3,5,1,4,1,1,2,1,2,4
290080965,1,1960,7,6,9,45,3,4,1,3,1,4,2,1,2,3
386737623,1,1964,5,6,11,51,3,5,1,4,1,1,2,1,2,3
156400376,1,1968,5,6,4,27,3,4,2,5,1,5,2,1,7,2
395901029,1,1973,6,6,10,48,3,5,1,3,1,1,1,1,3,3
138446818,2,1980,7,2,97,33,1,1,1,1,1,3,2,6,1,1
328091686,2,1974,5,2,5,6,3,4,1,3,3,5,2,1,3,4
425216126,2,1979,6,2,2,45,1,1,2,3,3,5,2,1,7,3
338472840,2,1979,4,2,6,42,3,5,1,4,2,1,2,1,2,1
334635258,2,1984,4,2,9,36,3,4,1,3,2,1,1,7,2,1
139428883,2,1982,4,1,9,41,3,5,2,3,2,1,1,7,7,4
332349947,2,1977,7,2,2,48,1,2,2,3,5,3,1,1,7,3
317662008,2,1974,7,2,97,48,4,5,1,4,1,1,1,1,2,3
369167105,2,1988,6,2,97,48,5,4,3,6,5,5,2,4,7,3
369745620,2,1985,6,2,97,15,1,1,1,2,2,6,2,1,1,4
371258257,2,1983,5,1,3,40,5,4,3,3,4,6,2,1,7,3
416564070,2,1975,6,1,4,26,5,8,1,6,3,1,2,2,7,2
280165962,2,1987,6,2,5,39,1,1,1,1,1,6,2,4,1,2
151553569,2,1982,4,2,97,39,5,8,3,6,5,1,2,4,7,2
306131713,2,1986,8,4,5,6,5,4,1,3,2,5,2,1,3,4
147065463,2,1987,4,3,97,53,3,3,2,3,4,5,2,2,7,4
135515904,2,1983,6,3,11,25,3,4,2,6,2,1,1,7,7,1
132889350,2,1974,4,4,97,9,5,8,1,6,5,1,1,7,1,1
156798032,2,1984,4,4,97,36,5,8,1,6,5,5,2,4,7,1
313481965,2,1987,6,3,5,8,3,4,1,3,4,1,2,2,3,4
288882985,2,1975,5,4,8,48,2,6,1,3,1,3,1,1,2,3
329342915,2,1981,4,3,2,6,3,4,1,4,2,1,1,1,4,4
158826443,2,1974,4,3,3,8,3,4,1,1,1,5,2,5,1,4
152004768,2,1985,6,4,1,17,1,1,1,2,2,5,2,4,1,2
146858053,2,1988,6,4,97,26,3,4,1,3,1,5,2,1,3,2
295544213,2,1978,5,3,3,4,5,4,2,6,2,1,2,6,7,4
318101566,2,1985,6,4,97,32,1,1,1,3,1,1,1,5,1,4
286388906,2,1985,5,4,5,55,2,7,1,5,2,6,1,1,2,2
304917402,2,1980,4,3,11,12,1,1,1,2,1,5,2,1,1,3
137054609,2,1978,4,5,6,5,1,2,1,1,3,1,1,1,7,3
135211236,2,1984,6,5,6,36,1,2,1,2,2,5,2,1,7,1
312613412,2,1985,4,5,1,17,3,4,2,3,3,5,2,4,7,2
143032742,2,1975,4,5,8,4,3,5,1,3,1,3,1,1,2,4
328252518,2,1976,4,5,4,6,2,6,1,3,2,5,2,2,2,4
362462533,2,1988,4,5,8,13,5,8,2,3,5,1,2,7,7,3
133790313,2,1980,7,5,8,20,4,5,1,4,1,1,2,1,2,2
285276634,2,1977,4,5,97,51,2,6,1,3,2,1,1,1,2,3
155530640,2,1979,6,5,11,18,4,5,1,6,2,1,1,1,3,2
151856816,2,1986,4,5,8,6,3,4,2,3,2,1,2,1,7,4
286263158,2,1987,4,5,6,6,1,2,1,2,1,5,2,1,1,4
141144359,2,1988,4,5,5,36,3,3,1,1,2,5,2,1,1,1
154865542,2,1988,6,5,97,44,1,2,2,3,5,5,2,1,7,1
137344913,2,1985,4,5,14,6,1,2,1,2,2,5,2,1,1,4
142550477,2,1985,6,5,9,8,1,1,1,1,1,2,1,1,1,4
292023269,2,1988,5,5,1,37,2,7,1,2,3,5,1,7,7,3
310660433,2,1981,4,5,7,12,2,7,1,3,2,1,1,1,2,3
311666277,2,1985,6,5,8,6,3,5,1,3,1,5,1,1,2,4
138943636,2,1984,4,5,4,36,3,4,1,3,3,1,2,7,1,1
141407566,2,1977,7,5,2,6,3,5,1,4,1,1,2,6,2,4
157916828,2,1974,6,6,11,6,2,7,1,5,1,1,1,7,2,4
317731931,2,1976,4,6,12,10,3,4,1,3,4,1,1,1,7,3
301571094,2,1983,4,6,4,48,2,7,1,5,1,5,2,6,2,3
157184495,2,1979,4,6,9,36,1,1,1,1,1,5,2,1,1,1
149965857,2,1987,4,6,8,53,2,6,1,3,3,5,2,1,2,4
146298606,2,1983,7,6,97,12,4,4,1,3,1,1,1,2,2,3
138200215,2,1987,4,6,9,4,1,2,1,3,3,5,2,1,7,4
317787511,2,1981,6,6,4,48,3,4,1,5,1,5,2,1,2,3
136443229,2,1980,4,6,9,23,1,1,1,3,3,1,1,1,1,1
138221558,2,1978,4,6,97,6,1,2,2,6,3,1,2,4,7,4
301260749,2,1986,6,6,11,29,1,1,1,1,1,1,1,1,1,2
296749921,2,1986,8,6,9,24,1,1,1,2,2,1,2,1,1,3
158904339,2,1986,4,6,11,6,3,3,1,1,1,1,2,2,1,4
158218962,2,1984,8,6,3,12,1,2,1,1,1,1,2,1,1,3
152979938,2,1980,4,6,9,4,2,7,1,5,1,3,1,1,2,4
283117449,2,1976,4,6,16,37,3,5,1,3,1,1,2,1,2,3
325926369,2,1982,6,6,3,18,3,4,1,3,1,3,1,1,6,2
394702552,1,1999,2,1,1,51,5,3,2,6,4,5,2,2,7,3
414113776,1,1995,2,4,6,15,1,2,3,6,5,5,2,8,7,4
381581017,1,2000,2,1,3,36,5,8,2,3,3,5,2,9,7,1
388978225,1,1998,2,2,11,13,3,5,1,4,2,5,2,4,2,3
395724195,1,1991,2,2,97,45,1,1,1,3,2,5,2,4,1,3
433516880,1,1995,2,2,1,6,2,7,1,2,2,5,2,4,1,4
416889339,1,1999,2,2,97,24,2,6,2,4,3,5,2,2,7,3
386418094,1,1995,2,3,2,51,2,7,1,3,3,5,2,1,3,3
340824000,1,1995,2,1,97,1,1,2,3,3,5,5,2,2,7,3
343010737,1,1992,2,5,97,36,3,3,1,1,1,5,2,1,4,1
404876184,1,1996,2,3,8,1,1,1,1,6,3,5,2,4,7,3
373127481,1,1999,2,3,8,29,3,3,2,3,1,5,2,8,7,2
384833357,1,1997,2,2,3,37,1,1,1,5,5,5,2,1,1,3
438992427,1,1999,2,3,4,22,1,2,1,3,3,5,2,2,7,3
336680581,1,1995,2,2,97,6,1,2,1,2,4,5,2,2,1,4
441657096,1,1997,2,2,3,36,1,1,1,2,5,5,2,2,7,1
425057639,1,1996,2,2,1,34,3,4,1,6,5,5,2,2,7,1
390461889,1,2000,2,1,2,36,2,7,3,5,3,1,1,8,7,1
406329923,1,1995,2,1,97,48,3,4,1,4,1,4,2,3,7,3
350444814,1,1998,2,2,97,12,3,4,2,6,4,5,2,8,7,3
399191239,1,1994,2,2,4,31,5,4,2,6,2,5,2,1,7,2
319925507,1,1990,2,3,2,39,1,1,1,2,1,5,2,1,1,2
328967323,1,1994,2,3,1,23,4,4,2,6,5,5,2,8,7,1
